event_id,start_sample,end_sample,duration_sec,start_time_min,kmeans_cluster,dbscan_cluster,is_anomaly,anomaly_score,pca_1,pca_2,pca_3,peak_acceleration,rms_acceleration,energy,dominant_freq,spectral_centroid
77,220152,220419,2.67,36.692,4,-1,0,-0.40850072686010164,-1.2814445718685938,2.540483717673485,0.0,3.5080650393066923,0.8112705711510002,175.7287038773839,1.5151515151515151,20.53433766221832
78,220927,221104,1.77,36.82116666666666,0,-1,0,-0.38281346299530117,-2.290433681220815,-2.7797311484365896,0.0,1.8941920671235517,0.810608667456084,116.30429488062228,1.1494252873563218,17.408673335019003
79,223728,224362,6.34,37.288000000000004,4,-1,0,-0.4056498242373802,-0.26174061354594963,0.19234461058878236,0.0,3.920283196056795,0.8955226897968925,508.4432029546329,1.2658227848101267,17.766090446419856
80,227125,227356,2.31,37.854166666666664,5,-1,0,-0.4014127596311444,-2.055877331184785,2.4405150723161246,0.0,2.4768759346438123,0.8158638452571505,153.76141103348803,16.228070175438596,19.706948070367265
81,227674,228041,3.67,37.94566666666666,4,-1,0,-0.36543215881342,-1.7408947804920996,0.6061910407035813,0.0,2.8890940913939156,0.6963581773420424,177.96369899246523,1.3736263736263736,20.78668235580203
82,229755,230291,5.36,38.292500000000004,0,-1,0,-0.5246829110967164,1.3802740571654324,-1.5342811864708883,0.0,5.0363832997115905,1.4566613219479985,1137.3181428765797,1.3108614232209739,18.133883106763374
83,234886,235167,2.81,39.147666666666666,0,-1,0,-0.36644219365643294,-1.9013555021945423,0.08602170255291762,0.0,2.9629822515661117,0.743246235556356,155.2286056339031,1.4388489208633093,19.720301905219074
84,236408,237830,14.22,39.40133333333333,4,-1,0,-0.4673186492757107,0.4815582370667808,0.6630812482163808,0.0,4.798519704265842,0.9117555964342166,1182.1061365686,1.3380281690140845,19.464378912421484
85,238801,239342,5.41,39.80016666666667,0,-1,0,-0.40011755703466934,-0.6185265066793234,-1.1598062136125313,0.0,3.2274240879718223,1.0517434973589042,598.4349318720758,1.3011152416356877,19.202082235934174
86,242898,243246,3.48,40.483,4,-1,0,-0.35458875146592267,-1.135212713898288,1.0130381509542705,0.0,3.4685328211654416,0.8965202041278817,279.7044697905055,1.4450867052023122,18.766391104347747
87,247856,248154,2.98,41.309333333333335,4,-1,0,-0.35713938659991673,-2.30622836666354,1.056025361311751,0.0,2.227989500379208,0.7173177576244548,153.33434009020607,1.3513513513513513,20.175156858457107
88,248820,249140,3.2,41.47,0,-1,0,-0.37966466044506625,-1.3212838660713278,-0.016646600067316254,0.0,3.2552897545070274,0.9055034724276149,262.37969234510985,1.2578616352201257,19.000303000530415
89,250295,251117,8.22,41.71583333333333,0,-1,0,-0.3933578202386977,-0.75779573820017,0.0382541138758441,0.0,3.6046425899037895,0.859512411681967,607.2620235566587,1.3414634146341462,19.88433294627045
90,253585,254032,4.47,42.26416666666667,0,-1,0,-0.3711730042358814,-1.056000083370856,-0.6234720655580276,0.0,2.971403665424287,0.9494344181227234,402.93729429926736,1.3513513513513513,18.802191436751475
91,257191,257571,3.8,42.86516666666667,0,-1,0,-0.355980136135565,-1.6666392189387145,-0.32983640553694027,0.0,2.539097543209963,0.8228770180282569,257.30810298364895,1.3227513227513228,19.341989951071195
92,259809,260537,7.28,43.301500000000004,0,-1,0,-0.3655054062541046,-1.48625509735845,-0.579704020262057,0.0,2.5118755894619484,0.8033060707642281,469.77886834181066,1.3774104683195594,19.47728686040815
93,262522,262677,1.55,43.75366666666666,4,-1,0,-0.4361757802779004,-2.136295239661394,3.066468982358218,0.0,2.9318714472830365,0.8165801445315927,103.3544855287017,1.3157894736842106,21.94803428396453
94,269275,271031,17.56,44.87916666666667,0,-1,0,-0.5372402622770919,1.4660627435626832,-3.115554189290523,0.0,4.44916686886908,1.1639408981530786,2378.9557756748018,1.3112884834663627,18.24900149426583
